"id","name","icon","note_count","created_at"
"1","Filsafat","fa-brain","0","2025-10-29 15:47:01"
"2","Fisika","fa-atom","0","2025-10-29 15:47:01"
"3","Matematika","fa-square-root-variable","0","2025-10-29 15:47:01"
"4","Bahasa Indonesia","fa-language","0","2025-10-29 15:47:01"
"5","Bahasa Inggris","fa-language","0","2025-10-29 15:47:01"
"6","Sosiologi","fa-users","0","2025-10-29 15:47:01"
"7","Sejarah Indonesia","fa-landmark","0","2025-10-29 15:47:01"
"8","Geografi","fa-globe-americas","0","2025-10-29 15:47:01"
"9","Ekonomi","fa-chart-line","0","2025-10-29 15:47:01"
"10","Sains","fa-flask","0","2025-10-29 15:47:01"
"11","PKN","fa-flag","0","2025-10-29 15:47:01"
"12","PAK","fa-church","0","2025-10-29 15:47:01"
"13","Biologi","fa-dna","0","2025-10-29 15:47:01"
"14","Kimia","fa-vial","0","2025-10-29 15:47:01"
